#lambda/nm	DC	C1
644.727	29331.4	29301.2
645.123	28959.6	29046
645.54	28689.2	28737.6
645.957	28511	28535.6
646.374	28202.6	28195.4
646.77	27951.4	27951.6
647.187	27774.8	27750.2
647.604	27535.2	27498.6
648.021	27246.4	27305.8
648.439	27073.6	27136.8
648.835	26867.2	26891.4
649.252	26706.2	26671
649.67	26512.2	26441
650.088	26213.2	26289
650.484	26064.8	26070.2
650.902	25813.8	25949.8
651.32	25554.8	25655
651.738	25450.8	25413
652.134	25079.8	25122
652.552	24893.8	24954
652.971	24793	24709
653.389	24523.2	24504.8
653.786	24282	24371.8
654.204	24066.6	24099.2
654.622	23815.8	23915
655.019	23628.6	23697.4
655.438	23438.2	23479.2
655.857	23222	23240
656.275	23054.4	23067.2
656.673	22776.2	22814.8
657.091	22641.4	22613.4
657.51	22428.4	22436.4
657.908	22216.4	22152.8
658.327	21957.4	21946.2
658.746	21709.8	21698.6
659.144	21471.8	21453.4
659.563	21252.8	21260.4
659.982	21073.8	21085.8
660.38	20812.4	20849.6
660.8	20608	20559.4
661.219	20380.6	20403.6
661.617	20134.8	20156.6
662.037	19904	19772.2
662.457	19689	19654
662.855	19425.4	19423.4
663.275	19284.4	19253
663.695	18989.2	19048.6
664.094	18788.4	18801
664.514	18545.8	18557.6
